White rating,Black rating,White result,Black result,Victory by checkmate,Victory by time,Victory by resignation,Opposite side castling,Other development
2378,411,0,1,1,0,0,0,1
1996,2097,0,1,1,0,0,1,0
2405,397,1,0,0,0,1,0,1
2091,2002,1,0,1,0,0,0,1
2008,2085,0,1,1,0,0,0,1
2078,2015,1,0,1,0,0,0,1
2005,2088,1,0,0,1,0,0,1
2710,305,0,1,0,0,1,0,1
2098,1995,0,1,0,1,0,0,1
2096,2106,1,0,0,0,1,0,1
2101,1951,1,0,1,0,0,1,0
1948,2104,0.5,0.5,0,0,0,1,0
1720,2859,0,1,1,0,0,0,1
2448,148,0,1,1,0,0,0,1
2731,400,0.5,0.5,0,0,0,0,1
2710,295,0.5,0.5,0,0,0,0,1
2447,292,0,1,0,0,1,0,1
2099,1980,1,0,1,0,0,0,1
1986,2093,0,1,1,0,0,0,1
2088,1953,1,0,1,0,0,0,1
1950,2091,0.5,0.5,0,0,0,0,1
1440,2659,0,1,0,0,1,0,1
2859,1297,1,0,1,0,0,0,1
2102,1939,0,1,0,0,1,0,1
1297,2859,0,1,1,0,0,0,1
1976,2113,1,0,0,0,1,0,1
2108,1981,1,0,1,0,0,0,1
2760,313,0,1,0,0,1,0,1
2859,1297,1,0,0,1,0,0,1
1986,2103,0,1,1,0,0,1,0
2114,1975,0,1,0,1,0,0,1
1964,2125,1,0,0,0,1,0,1
2120,1969,1,0,1,0,0,1,0
1974,2115,0,1,1,0,0,0,1
2110,1979,1,0,1,0,0,0,1
2053,1958,1,0,1,0,0,0,1
1944,2105,0,1,1,0,0,0,1
2100,1949,1,0,1,0,0,0,1
2446,149,0,1,1,0,0,0,1
1954,2095,0,1,1,0,0,0,1
2090,1959,1,0,1,0,0,0,1
2055,416,1,0,1,0,0,0,1
2454,313,1,0,1,0,0,1,0
1948,2101,1,0,1,0,0,0,1
2096,1953,1,0,1,0,0,0,1
1958,2091,0,1,1,0,0,0,1
2086,1963,1,0,1,0,0,0,1
2360,420,0,1,1,0,0,0,1
1969,2080,0,1,1,0,0,0,1
2074,1975,1,0,1,0,0,0,1
1975,422,1,0,1,0,0,0,1
2462,152,0,1,1,0,0,0,1
2921,1717,1,0,1,0,0,0,1
2040,291,0,1,0,0,1,1,0
1717,2921,0,1,1,0,0,0,1
2061,152,1,0,1,0,0,0,1
2921,1717,1,0,1,0,0,1,0
2141,315,1,0,0,0,1,0,1
1145,2859,0,1,0,0,1,0,1
1989,293,1,0,1,0,0,0,1
1982,294,1,0,1,0,0,0,1
1566,2921,0,1,0,0,1,0,1
1995,2068,0,1,1,0,0,0,1
2061,2002,1,0,1,0,0,0,1
2519,1884,1,0,0,0,1,1,0
2001,2062,0.5,0.5,0,0,0,0,1
2055,2008,1,0,1,0,0,0,1
1998,2065,1,0,0,0,1,1,0
2058,2005,1,0,1,0,0,1,0
2921,1259,1,0,0,0,1,0,1
1991,2066,1,0,0,0,1,1,0
2059,1998,1,0,1,0,0,0,1
1988,2069,1,0,1,0,0,0,1
2063,1994,1,0,1,0,0,1,0
2038,263,0,1,0,0,1,0,1
2074,1957,0,1,0,1,0,0,1
2461,150,0,1,1,0,0,0,1
1993,2076,0.5,0.5,0,0,0,0,1
2070,1999,1,0,1,0,0,0,1
2352,322,0,1,0,0,1,0,1
1997,2072,0.5,0.5,0,1,0,1,0
2082,1987,0,1,0,0,1,0,1
1993,2076,0,1,1,0,0,1,0
2070,1999,1,0,1,0,0,0,1
1997,2072,0.5,0.5,0,0,0,1,0
1983,2082,1,0,0,0,1,1,0
2076,1989,1,0,1,0,0,1,0
1979,2086,1,0,0,0,1,0,1
2089,1976,0.5,0.5,0,0,0,1,0
1982,2083,0,1,1,0,0,0,1
2077,1988,1,0,1,0,0,0,1
1994,2071,0,1,1,0,0,0,1
2092,424,1,0,0,0,1,0,1
2032,1984,1,0,0,0,0,0,1
1975,2041,1,0,1,0,0,0,1
2034,1982,1,0,1,0,0,0,1
1972,2044,1,0,1,0,0,0,1
2037,1979,1,0,1,0,0,0,1
2081,1984,0,1,0,1,0,1,0
1986,2030,0,1,0,0,1,0,1
2458,223,0,1,0,0,1,0,1
2023,1993,1,0,0,0,1,0,1
2001,2015,0,1,0,0,1,1,0
1973,2092,1,0,0,0,1,0,1
2024,1992,0,1,1,0,0,0,1
2000,2016,0,1,0,0,1,0,1
2086,1979,1,0,1,0,0,0,1
2008,2008,1,0,0,0,1,0,1
1976,2089,0.5,0.5,0,0,0,0,1
2083,1982,1,0,1,0,0,1,0
1971,2094,1,0,0,1,0,0,1
2088,1977,1,0,1,0,0,1,0
1966,2099,1,0,0,0,1,1,0
2150,2284,0,1,1,0,0,0,1
2094,1971,1,0,1,0,0,0,1
1968,2097,0.5,0.5,0,0,0,1,0
2092,1973,1,0,1,0,0,1,0
1970,2095,0.5,0.5,0,0,0,1,0
2106,1959,0,1,0,0,1,0,1
1956,2109,0.5,0.5,0,0,0,0,1
2121,1944,0,1,0,0,1,1,0
1948,2117,0,1,1,0,0,0,1
2112,1953,1,0,1,0,0,1,0
1966,2107,0,1,1,0,0,0,1
2102,1971,1,0,1,0,0,1,0
1960,2113,1,0,0,0,1,0,1
2108,1965,1,0,1,0,0,1,0
1970,2103,0,1,1,0,0,1,0
2106,1967,0.5,0.5,0,0,0,0,1
1964,2109,0.5,0.5,0,1,0,1,0
2857,333,0.5,0.5,0,0,0,0,1
2104,1969,1,0,1,0,0,0,1
1966,2107,0.5,0.5,0,0,0,0,1
2110,1963,0.5,0.5,0,0,0,1,0
1968,2105,0,1,1,0,0,0,1
2100,1973,1,0,1,0,0,1,0
1962,2111,1,0,0,1,0,1,0
2114,1959,0.5,0.5,0,0,0,1,0
1964,2109,0,1,1,0,0,0,1
2104,1969,1,0,1,0,0,0,1
1966,2107,0.5,0.5,0,1,0,1,0
2102,1971,1,0,1,0,0,0,1
1968,2105,0.5,0.5,0,0,0,0,1
2108,1965,0.5,0.5,0,0,0,0,1
1970,2103,0,1,1,0,0,0,1
2114,1959,0,1,0,0,1,0,1
1964,2109,0,1,1,0,0,0,1
2121,1952,0,1,0,1,0,0,1
1957,2116,0,1,1,0,0,0,1
2111,1962,1,0,1,0,0,1,0
1967,2106,0,1,1,0,0,0,1
2109,1964,0.5,0.5,0,0,0,1,0
1739,2300,0,1,0,0,1,1,0
2728,313,0.5,0.5,0,0,0,0,1
2860,1858,1,0,0,0,1,0,1
1966,2298,0,1,0,0,1,0,1
2296,1968,1,0,0,0,1,0,1
1970,2294,0,1,0,0,1,0,1
2292,1972,1,0,0,0,1,0,1
2052,2147,0.5,0.5,0,0,0,0,1
1804,2860,0,1,0,0,1,0,1
1326,2860,0,1,0,0,1,0,1
2417,313,1,0,0,0,1,0,1
2860,1243,1,0,1,0,0,0,1
1969,2103,0,1,1,0,0,0,1
1948,2098,0,1,1,0,0,1,0
2093,1953,1,0,1,0,0,0,1
1958,2088,0,1,1,0,0,0,1
2083,1963,1,0,1,0,0,0,1
1952,2094,1,0,0,1,0,1,0
2089,1957,1,0,1,0,0,1,0
1954,2092,0.5,0.5,0,0,0,1,0
2343,346,1,0,0,0,1,1,0
1710,2860,0,1,0,0,1,0,1
2092,1957,1,0,1,0,0,1,0
1946,2103,1,0,0,0,1,0,1
2758,314,0,1,0,0,1,1,0
2860,1700,1,0,1,0,0,0,1
2077,2112,1,0,0,1,0,0,1
2345,347,1,0,0,0,1,0,1
2119,2143,0,1,0,0,1,0,1
1191,2860,0,1,0,0,1,1,0
2114,1951,1,0,1,0,0,0,1
2084,2107,0,1,1,0,0,0,1
2756,314,0,1,0,0,1,0,1
2108,2083,0.5,0.5,0,0,0,0,1
2074,2117,1,0,0,0,1,0,1
2347,348,1,0,0,0,1,0,1
1969,2112,0,1,1,0,0,0,1
2107,1967,1,0,1,0,0,1,0
2754,315,0,1,0,0,1,0,1
2118,1958,0,1,0,0,1,1,0
1972,2113,0,1,1,0,0,1,0
2355,518,1,0,0,0,1,0,1
2659,1858,1,0,0,0,0,0,1
2752,299,0,1,0,0,1,0,1
2412,316,1,0,1,0,0,0,1
2347,350,1,0,0,0,1,0,1
2750,318,0,1,0,0,1,0,1
2925,289,0.5,0.5,0,0,0,0,1
2728,414,1,0,0,0,1,0,1
2922,311,0.5,0.5,0,1,0,0,1
2337,422,0,1,0,0,0,0,1
2858,419,0.5,0.5,0,0,0,0,1
1652,2469,0,1,0,0,1,0,1
1652,2923,0,1,0,0,1,1,0
1965,425,1,0,1,0,0,0,1
2858,1702,1,0,0,0,1,0,1
1961,426,1,0,0,0,1,0,1
2228,2857,0,1,1,0,0,0,1
1959,291,1,0,1,0,0,0,1
2857,1285,1,0,0,0,1,0,1
1314,2857,0,1,1,0,0,0,1
2857,1314,1,0,1,0,0,0,1
1314,2857,0,1,1,0,0,1,0
2466,155,0,1,1,0,0,0,1
2857,1314,1,0,1,0,0,0,1
2465,292,0,1,0,0,1,0,1
1314,2857,0,1,1,0,0,0,1
2857,1314,1,0,1,0,0,0,1
2923,1228,1,0,0,0,1,0,1
1964,2108,0,1,1,0,0,0,1
2036,152,0,1,0,0,1,0,1
2103,1969,1,0,1,0,0,0,1
1952,2098,0,1,1,0,0,0,1
2093,1957,1,0,1,0,0,0,1
1954,2096,0.5,0.5,0,0,0,0,1
2091,1959,1,0,1,0,0,1,0
2062,2100,1,0,0,1,0,0,1
2465,1636,1,0,0,0,1,0,1
2109,2053,0,1,0,0,1,0,1
1974,2104,0,1,0,0,0,0,1
2099,1962,1,0,1,0,0,0,1
1959,2102,0.5,0.5,0,0,0,0,1
2343,297,1,0,0,0,1,1,0
2097,1964,1,0,1,0,0,0,1
1963,2108,1,0,0,1,0,1,0
1702,2857,0,1,1,0,0,0,1
1968,2103,0,1,1,0,0,0,1
2114,1957,0,1,0,1,0,1,0
2109,1968,1,0,1,0,0,0,1
1957,2120,1,0,0,1,0,0,1
2344,350,1,0,0,0,1,0,1
1949,427,1,0,1,0,0,0,1
1954,2115,0,1,1,0,0,0,1
2127,1945,0,1,0,1,0,1,0
2121,1949,1,0,1,0,0,0,1
1945,2125,0.5,0.5,0,0,0,0,1
2475,319,1,0,1,0,0,0,1
2118,2060,1,0,0,0,1,0,1
1950,2113,0,1,1,0,0,0,1
2321,430,0,1,1,0,0,0,1
2088,433,1,0,0,0,1,0,1
1968,434,1,0,1,0,0,0,1
2067,2106,0,1,0,0,1,1,0
2101,1955,1,0,1,0,0,1,0
2096,1968,1,0,1,0,0,1,0
1973,2091,0,1,1,0,0,1,0
2085,1979,1,0,1,0,0,1,0
1968,2096,1,0,0,0,1,1,0
2091,1973,1,0,1,0,0,0,1
1952,2094,0.5,0.5,0,0,0,0,1
2089,1957,1,0,1,0,0,1,0
1962,2084,0,1,1,0,0,0,1
2078,1968,1,0,1,0,0,1,0
1974,2072,0,1,1,0,0,0,1
1948,2083,1,0,0,0,1,0,1
2094,1937,0,1,0,0,1,1,0
1942,2089,0,1,1,0,0,0,1
2084,1947,1,0,1,0,0,0,1
1952,2079,0,1,1,0,0,0,1
2090,1941,0,1,0,0,1,1,0
1946,2085,0,1,1,0,0,0,1
2096,1935,0,1,0,1,0,1,0
1940,2091,0,1,1,0,0,0,1
2103,1928,0,1,0,0,1,1,0
2860,286,0.5,0.5,0,0,0,0,1
1304,2860,0,1,0,0,1,0,1
2730,310,1,0,0,0,1,0,1
2030,202,0,1,1,0,0,0,1
2855,1285,1,0,0,0,1,0,1
1285,2855,0,1,1,0,0,0,1
1974,2290,0,1,0,0,1,0,1
2288,1976,1,0,0,0,1,0,1
1978,2286,0,1,0,0,1,0,1
2284,1980,1,0,0,0,1,1,0
1982,2282,0,1,0,0,1,0,1
2279,1985,1,0,0,0,1,0,1
1988,2276,0,1,0,0,1,0,1
2273,1991,1,0,0,0,1,0,1
1986,2097,0,1,1,0,0,0,1
2091,1992,1,0,1,0,0,0,1
1994,2270,0,1,0,0,1,0,1
1998,2085,0,1,1,0,0,0,1
2267,1997,1,0,0,0,1,0,1
2095,1988,0,1,0,1,0,0,1
1909,2099,0.5,0.5,0,0,0,0,1
2423,317,1,0,0,0,1,1,0
2095,1913,1,0,1,0,0,1,0
1917,2091,0,1,1,0,0,1,0
